date,Close,High,Low,Open,Volume,market_cap
,HYPE32196-USD,HYPE32196-USD,HYPE32196-USD,HYPE32196-USD,HYPE32196-USD,
29/11/2024,6.079583168029785,6.215372085571289,3.2002758979797363,3.2002758979797363,555494307,
30/11/2024,8.714290618896484,8.911730766296387,6.199316024780273,6.415372848510742,367991210,
01/12/2024,9.12222957611084,9.87071418762207,8.203312873840332,8.602177619934082,323046720,
02/12/2024,8.263359069824219,9.643155097961426,7.211834907531738,9.491065979003906,281346299,
03/12/2024,11.277477264404297,11.780559539794922,7.748329162597656,8.415191650390625,215417757,
04/12/2024,11.608661651611328,13.189475059509277,10.754717826843262,11.082695007324219,298479636,3730202980.659975
05/12/2024,11.97228717803955,13.928378105163574,10.452529907226562,11.530895233154297,267028563,3650936816.984496
06/12/2024,14.120070457458496,14.375138282775879,12.334054946899414,12.65477180480957,178856820,4200575474.3698063
07/12/2024,14.340415954589844,14.987508773803711,13.55886173248291,13.803595542907715,158691228,4615457707.046195
08/12/2024,14.146639823913574,14.609786987304688,13.470499992370605,13.907773971557617,116448278,4724718267.26258
09/12/2024,12.982531547546387,14.385714530944824,12.17842960357666,14.072884559631348,221067779,4731615499.018337
10/12/2024,13.85832405090332,14.396248817443848,12.630331039428711,13.513983726501465,182818832,4468347257.659359
11/12/2024,16.200775146484375,16.538150787353516,13.0366849899292,13.627176284790039,171502694,4634300467.501319
12/12/2024,17.840618133544922,18.741527557373047,15.66543960571289,16.12493133544922,243826474,5396583949.176273
13/12/2024,19.22227668762207,19.565391540527344,16.989295959472656,18.109302520751953,174305215,6115803355.084299
14/12/2024,24.00943946838379,24.012798309326172,19.076221466064453,19.457916259765625,340444797,6490275582.657569
15/12/2024,23.792699813842773,25.003475189208984,21.16913414001465,24.339641571044922,376645258,8109348047.466743
16/12/2024,27.003265380859375,28.46400260925293,23.115493774414062,23.957456588745117,352059148,8029279711.218239
17/12/2024,25.68900489807129,28.969280242919922,24.207483291625977,27.003265380859375,422974369,9175188173.30223
18/12/2024,23.509660720825195,27.407196044921875,22.914445877075195,25.688945770263672,439048818,8551270284.749947
19/12/2024,25.223459243774414,27.166217803955078,22.083520889282227,23.509660720825195,499349144,7696140208.241728
20/12/2024,29.83612823486328,31.59280776977539,22.952348709106445,25.22345733642578,570860570,8360684632.158544
21/12/2024,32.30278778076172,35.018402099609375,29.053007125854492,29.83612823486328,496083333,10001580339.632174
22/12/2024,28.112287521362305,34.95320510864258,27.49763298034668,32.30278778076172,506187359,10813688145.447886
23/12/2024,28.504302978515625,29.76318359375,25.34697151184082,28.112287521362305,674320745,9426569751.713112
24/12/2024,29.79091453552246,31.467111587524414,27.45062828063965,28.504302978515625,392024855,9511600140.877136
