date,Close,High,Low,Open,Volume,market_cap
09/11/2017,1.990769982,2.174230099,1.893939972,2.053139925,19192200,201460232.2
10/11/2017,1.796839952,2.069469929,1.64478004,2.007730007,11155000,178919972.0
11/11/2017,1.670469999,1.917750001,1.614289999,1.786280036,8178150,167488453.1
12/11/2017,1.519690037,1.672799945,1.462560058,1.668889999,15298700,150991373.7
13/11/2017,1.686619997,1.735020041,1.51760006,1.526010036,12238800,165744855.1
14/11/2017,1.592579961,1.73537004,1.568269968,1.689280033,7829600,156686364.6
15/11/2017,1.530449986,1.624979973,1.495499969,1.587769985,7615500,150742563.6
16/11/2017,1.57791996,1.682219982,1.53689003,1.556190014,8928640,157996419.8
17/11/2017,1.510360003,1.58265996,1.495300055,1.580049992,8508840,149961271.4
18/11/2017,1.674329996,1.676779985,1.49822998,1.511360049,32167300,165591759.1
19/11/2017,1.613770008,1.701230049,1.567800045,1.67335999,38081700,158550630.6
20/11/2017,1.624449968,1.660650015,1.555609941,1.625589967,12994500,160472835.0
21/11/2017,1.574059963,1.659669995,1.549839973,1.658169985,5440790,155622212.4
22/11/2017,1.611750007,1.621369958,1.558230042,1.590489984,7177000,159396955.9
23/11/2017,1.548699975,1.616680026,1.537590027,1.610599995,8392640,154461164.4
24/11/2017,1.717710018,1.820180058,1.55558002,1.56953001,12155400,167434757.9
25/11/2017,1.873870015,1.957640052,1.693969965,1.716969967,12839900,183230814.8
26/11/2017,1.853129983,1.935310006,1.826740026,1.894739985,9056850,182503043.4
27/11/2017,1.942980051,1.947270036,1.789630055,1.870830059,22826600,195050034.6
28/11/2017,1.917109966,1.958850026,1.868039966,1.958850026,36377700,196928662.9
29/11/2017,1.751530051,2.051589966,1.683169961,1.92434001,43765500,177042598.1
30/11/2017,1.996970057,2.052910089,1.761440039,1.761440039,31559500,198350010.2
01/12/2017,2.070230007,2.137010098,1.922970057,1.99695003,28867200,207284814.1
02/12/2017,2.084160089,2.115659952,1.996889949,2.077059984,24332700,209800144.6
03/12/2017,2.227250099,2.381150007,2.05418992,2.085410118,35163500,224059470.8
04/12/2017,2.491679907,2.577029943,2.258090019,2.258090019,41226200,254913860.5
05/12/2017,2.595299959,2.731790066,2.501810074,2.501810074,49190000,263124719.4
06/12/2017,2.587690115,2.778810024,2.345880032,2.580430031,41731500,232422532.2
07/12/2017,2.779949903,2.914429903,2.489429951,2.549400091,28297900,297086617.3
08/12/2017,2.830670118,2.868989944,2.259569883,2.76609993,38648500,292293248.4
09/12/2017,2.610430002,2.867340088,2.330349922,2.826020002,27217000,264491465.1
10/12/2017,2.483370066,2.695440054,2.211699963,2.661339998,19258500,254681413.1
11/12/2017,2.706650019,2.824480057,2.503350019,2.513020039,19427000,275491319.0
12/12/2017,2.68475008,2.778300047,2.613430023,2.726449966,24523200,267426821.4
13/12/2017,2.778100014,2.875050068,2.571439981,2.687079906,28429500,279049549.8
14/12/2017,3.158740044,3.158740044,2.772660017,2.773439884,40335300,316546825.1
15/12/2017,3.996150017,4.411250114,3.142819881,3.156699896,52745900,400085906.0
16/12/2017,4.664649963,4.725409985,3.918400049,4.168469906,54002400,463748632.8
17/12/2017,5.756720066,6.750430107,4.669340134,4.669340134,98159600,590889258.9
18/12/2017,5.615849972,6.221320152,5.280970097,5.792399883,66623700,558733495.5
19/12/2017,5.792329788,6.545320034,5.579760075,5.646999836,66695200,588418049.1
20/12/2017,5.176209927,5.788630009,4.933169842,5.788630009,47866900,528971428.0
21/12/2017,5.180009842,5.698160172,4.814149857,5.184909821,46905500,539885696.3
22/12/2017,4.336150169,5.212739944,3.513309956,5.205460072,36672600,448300384.0
23/12/2017,4.839260101,5.13451004,4.307610035,4.394959927,32930300,507266057.4
24/12/2017,5.285679817,5.285679817,4.198649883,4.741839886,43676900,548348055.5
25/12/2017,6.560009956,6.955220222,5.25053978,5.308579922,66374400,668070648.4
26/12/2017,9.029419899,10.62209988,6.496379852,6.559279919,167812992,940817663.5
27/12/2017,10.10700035,11.30220032,8.486590385,9.254260063,167808000,1037172560.0
28/12/2017,9.321410179,10.19639969,8.149279594,10.12629986,109298000,975556559.2
29/12/2017,8.807600021,9.534850121,8.536820412,9.318619728,70849400,903464194.9
30/12/2017,7.841010094,8.761099815,7.187940121,8.713769913,72933904,827396149.3
31/12/2017,8.635580063,8.839119911,7.708990097,7.763309956,74927904,911813028.0
01/01/2018,8.414609909,8.700570107,7.959219933,8.629529953,66422800,874105359.9
02/01/2018,8.837770462,9.122590065,8.217180252,8.457699776,104789000,900076194.7
03/01/2018,9.535880089,9.580780029,8.529179573,8.770139694,108852000,978884395.5
04/01/2018,9.213990211,9.538490295,8.854129791,9.445839882,158819008,958035469.6
05/01/2018,14.91720009,16.71769905,9.094679832,9.145680428,341504992,1632594637.0
06/01/2018,22.75979996,23.50819969,14.82120037,14.8689003,637020992,2412961755.0
07/01/2018,18.65679932,22.76910019,18.24250031,22.76910019,258050000,1915189106.0
08/01/2018,18.2609005,19.2166996,15.34710026,18.64649963,296617984,1902371870.0
09/01/2018,17.41180038,20.32029915,16.80139923,18.17399979,194750000,1879169097.0
10/01/2018,17.39080048,17.70789909,15.17080021,17.70789909,146582000,1789590223.0
11/01/2018,21.04269981,23.15250015,15.28629971,17.5666008,389228000,2189206234.0
12/01/2018,22.31629944,24.91209984,19.93040085,21.47579956,387537984,2367912065.0
13/01/2018,22.17440033,23.66690063,21.37339973,22.34530067,181676000,2333263357.0
