date,Close,High,Low,Open,Volume,market_cap
2017-11-09,0.002343999920412898,0.002437999937683344,0.0022849999368190765,0.0023040000814944506,2924350,156404161.61769113
2017-11-10,0.0020129999611526728,0.0023499999660998583,0.0019890000112354755,0.0023350000847131014,2193620,133968506.2492818
2017-11-11,0.002002999885007739,0.0022980000358074903,0.0018899999558925629,0.0020260000601410866,1748460,125470649.38402924
2017-11-12,0.001782999956049025,0.002005999907851219,0.0016840000171214342,0.002005999907851219,2174370,118235245.9032626
2017-11-13,0.0021120000164955854,0.0021460000425577164,0.0017709999810904264,0.0017950000474229455,2889150,132386427.48493508
2017-11-14,0.0024850000627338886,0.0025659999810159206,0.0020630001090466976,0.002111000008881092,4040400,158479487.413139
2017-11-15,0.0023219999857246876,0.0024999999441206455,0.0021879998967051506,0.002443999983370304,5008060,152242301.026122
2017-11-16,0.0022090000566095114,0.0023380001075565815,0.0018230000277981162,0.002322999993339181,5082450,147470996.18371
2017-11-17,0.0019839999731630087,0.002188999904319644,0.0019490000559017062,0.0021869998890906572,5720510,132729588.66321
2017-11-18,0.0020280000753700733,0.00204299995675683,0.001905999961309135,0.001979999942705035,5709820,132693856.773722
2017-11-19,0.0020020001102238894,0.002113000024110079,0.0019509999547153711,0.0020200000144541264,4289470,130259776.10292
2017-11-20,0.002133999951183796,0.002185000106692314,0.001993000041693449,0.001993000041693449,3909200,139968958.501911
2017-11-21,0.0021430000197142363,0.0021989999804645777,0.002004999900236726,0.002148000057786703,3417520,139727776.589602
2017-11-22,0.002302000066265464,0.0025400000158697367,0.002122000092640519,0.0021460000425577164,4119730,153081053.186036
2017-11-23,0.002104999963194132,0.002429000101983547,0.00204299995675683,0.0023109999019652605,4402340,140256267.319897
2017-11-24,0.002025000052526593,0.00216299993917346,0.001969000091776252,0.0021059999708086252,4204470,135886679.771313
2017-11-25,0.002047999994829297,0.0021089999936521053,0.001993000041693449,0.00202700006775558,4704770,132186806.520027
2017-11-26,0.0021379999816417694,0.0021899999119341373,0.0019710001070052385,0.002050000010058284,6245890,138886239.354519
2017-11-27,0.0020620001014322042,0.0022249999456107616,0.0020089999306946993,0.0021510000806301832,6405580,137391323.843611
2017-11-28,0.002308000111952424,0.0023900000378489494,0.0019910000264644623,0.0020620001014322042,6065010,157303861.754746
2017-11-29,0.002067999914288521,0.0026100000832229853,0.001934999949298799,0.002309999894350767,7852660,135028093.697619
2017-11-30,0.0022440000902861357,0.002300000051036477,0.0020310000982135534,0.002090000081807375,4155450,151961655.37658
2017-12-01,0.0021180000621825457,0.002247000113129616,0.0020570000633597374,0.0022410000674426556,6294070,140761166.858812
2017-12-02,0.0020729999523609877,0.0022120000794529915,0.002032000105828047,0.0021100000012665987,5760180,139299880.204911
2017-12-03,0.002116000046953559,0.0022040000185370445,0.00203399988822639,0.0020800000056624413,7261200,138051871.365982
2017-12-04,0.0021440000273287296,0.0021689999848604202,0.0020490000024437904,0.002124000107869506,10447300,141541434.294398
2017-12-05,0.002085000043734908,0.0021840000990778208,0.0020580000709742308,0.0021389999892562628,8749920,140507657.865294
2017-12-06,0.00305499997921288,0.004077000077813864,0.002067999914288521,0.002067999914288521,33314700,251391339.358649
2017-12-07,0.004275000188499689,0.005807999987155199,0.002974000060930848,0.003134000115096569,44215300,258211689.362915
