date,Close,High,Low,Open,Volume,market_cap
2023-01-03,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,17560796887.615242
2023-01-04,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,17382384969.744404
2023-01-05,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,17597994730.9952
2023-01-06,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,17116070602.36482
2023-01-09,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,17456961142.234257
2023-01-10,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,17717747212.100025
2023-01-11,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,17792177163.847145
2023-01-12,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,19038727678.203484
2023-01-13,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,19039106716.028618
2023-01-17,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,19619545376.60257
2023-01-18,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,19658180910.92554
2023-01-19,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,19245926197.7098
2023-01-20,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,19971310554.25555
2023-01-23,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,20425679976.40058
2023-01-24,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,21638028918.38685
2023-01-25,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,20714879210.16023
2023-01-26,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,21255807576.526184
2023-01-27,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,20916108969.411465
2023-01-30,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,21072151658.28616
2023-01-31,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,20091977273.8818
2023-02-01,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,20688747113.48664
2023-02-02,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,21064449265.238544
2023-02-03,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,20884408869.32825
2023-02-06,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,20322531847.385983
2023-02-07,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,19987203910.588814
2023-02-08,19.739999771118164,19.739999771118164,19.739999771118164,19.739999771118164,0,20578617233.8652
2023-02-09,19.719999313354492,19.719999313354492,19.719999313354492,19.719999313354492,0,20272568564.15036
2023-02-10,19.719999313354492,19.719999313354492,19.719999313354492,19.719999313354492,0,19494029957.97749
2023-02-13,19.719999313354492,19.719999313354492,19.719999313354492,19.719999313354492,0,19086935160.551865
